Date,Open,High,Low,Close,Adj Close,Volume
23/08/2022,1738,1748.900024,1731.900024,1746.800049,1746.800049,509
22/08/2022,1740.5,1740.5,1726.5,1734,1734,347
19/08/2022,1753.699951,1754.300049,1747.5,1747.599976,1747.599976,49
18/08/2022,1762.900024,1762.900024,1753.400024,1755.300049,1755.300049,321
17/08/2022,1769.699951,1769.699951,1760,1760.300049,1760.300049,23
16/08/2022,1777.400024,1777.400024,1771.400024,1773.199951,1773.199951,308
15/08/2022,1799,1799,1774.699951,1781.400024,1781.400024,64
12/8/2022,1786.300049,1800.400024,1784.300049,1798.599976,1798.599976,187
11/8/2022,1794.300049,1794.300049,1785.699951,1789.699951,1789.699951,1235
10/8/2022,1804.400024,1804.900024,1787.800049,1795.599976,1795.599976,601
9/8/2022,1790,1796.099976,1789,1794,1794,249
8/8/2022,1771.800049,1786.800049,1771.800049,1786.800049,1786.800049,127
5/8/2022,1791.199951,1791.400024,1764.199951,1772.900024,1772.900024,645
4/8/2022,1769.400024,1792.099976,1767.699951,1788.5,1788.5,285
3/8/2022,1756.699951,1770.5,1753,1758,1758,399
2/8/2022,1772.099976,1786.599976,1759.400024,1771.099976,1771.099976,1078
1/8/2022,1763.900024,1772.5,1756.099976,1769,1769,705
29/07/2022,1754,1765.699951,1750,1762.900024,1762.900024,3485
28/07/2022,1732.300049,1755,1732,1750.300049,1750.300049,37236
27/07/2022,1719.099976,1719.099976,1719.099976,1719.099976,1719.099976,144865
26/07/2022,1718,1718,1717.699951,1717.699951,1717.699951,1
25/07/2022,1727,1732,1719,1719,1719,67
22/07/2022,1713.300049,1735,1713,1727.099976,1727.099976,61
21/07/2022,1687,1715.5,1679.800049,1712.699951,1712.699951,183
20/07/2022,1707.099976,1708.5,1699.5,1699.5,1699.5,130
19/07/2022,1712.300049,1714.400024,1706.099976,1710,1710,1684
18/07/2022,1712.199951,1712.400024,1709.199951,1709.199951,1709.199951,264
15/07/2022,1705.400024,1709.699951,1701.099976,1702.400024,1702.400024,721
14/07/2022,1710.300049,1710.5,1704.5,1704.5,1704.5,1289
13/07/2022,1710,1734.199951,1710,1734.199951,1734.199951,368
12/7/2022,1734.199951,1735.5,1723.300049,1723.300049,1723.300049,451
11/7/2022,1732.5,1736.699951,1730,1730,1730,75
8/7/2022,1738.099976,1749.300049,1732.099976,1740.599976,1740.599976,370
7/7/2022,1745.199951,1745.199951,1737,1737.900024,1737.900024,1869
6/7/2022,1762.5,1768,1734,1734.900024,1734.900024,1729
5/7/2022,1805.400024,1805.400024,1761.800049,1761.800049,1761.800049,64
1/7/2022,1795.5,1806.099976,1791.599976,1798.900024,1798.900024,77
30/06/2022,1809.599976,1817.300049,1801,1804.099976,1804.099976,328
29/06/2022,1818.300049,1830.300049,1812.800049,1813.699951,1813.699951,173
28/06/2022,1824.199951,1826,1817.5,1817.5,1817.5,391
27/06/2022,1830.5,1830.699951,1819.900024,1820.900024,1820.900024,77
24/06/2022,1820.5,1826.5,1815.800049,1826.5,1826.5,61
23/06/2022,1835.5,1841.199951,1825.699951,1825.699951,1825.699951,9
22/06/2022,1829.5,1842.699951,1821.599976,1834.300049,1834.300049,115
21/06/2022,1835.300049,1838.599976,1830.099976,1834.599976,1834.599976,216
17/06/2022,1853.699951,1853.699951,1833.599976,1835.599976,1835.599976,170
16/06/2022,1819.199951,1850.599976,1814.900024,1845.699951,1845.699951,136
15/06/2022,1814.099976,1839,1810.800049,1815.300049,1815.300049,108
14/06/2022,1825,1825.5,1805.300049,1809.5,1809.5,536
13/06/2022,1873.800049,1873.800049,1818.699951,1828,1828,127
10/6/2022,1842.699951,1875.599976,1823.900024,1871.5,1871.5,1490
9/6/2022,1846.099976,1850.099976,1837.900024,1848.800049,1848.800049,159
8/6/2022,1844.800049,1855,1844.400024,1851.900024,1851.900024,218
7/6/2022,1836.900024,1851.599976,1835,1847.5,1847.5,1168
6/6/2022,1849,1854.099976,1839.199951,1839.199951,1839.199951,142
3/6/2022,1867.599976,1871.800049,1845.400024,1845.400024,1845.400024,53
2/6/2022,1845.400024,1868.699951,1842.099976,1866.5,1866.5,551
1/6/2022,1831,1847.900024,1825.300049,1843.300049,1843.300049,1623
31/05/2022,1850.300049,1862.099976,1832.800049,1842.699951,1842.699951,4073
27/05/2022,1848.300049,1860.699951,1845.900024,1851.300049,1851.300049,30091
26/05/2022,1840.400024,1847.400024,1840.400024,1847.400024,1847.400024,123355
25/05/2022,1846.199951,1846.199951,1846.199951,1846.199951,1846.199951,0
24/05/2022,1852.5,1867,1852.5,1865.099976,1865.099976,33
23/05/2022,1846.300049,1863,1845.800049,1847.800049,1847.800049,216
20/05/2022,1839.099976,1841.800049,1836.300049,1841.800049,1841.800049,110
19/05/2022,1810.900024,1841.199951,1810.699951,1841.199951,1841.199951,138
18/05/2022,1815,1819.699951,1805,1815.900024,1815.900024,311
17/05/2022,1824.900024,1828.599976,1816.699951,1818.199951,1818.199951,121
16/05/2022,1790.5,1813.5,1787,1813.5,1813.5,34
13/05/2022,1825,1825,1807.400024,1807.400024,1807.400024,335
12/5/2022,1849.800049,1851.900024,1822.199951,1823.800049,1823.800049,153
11/5/2022,1841.5,1852.599976,1841,1852.599976,1852.599976,892
10/5/2022,1839.900024,1839.900024,1839.900024,1839.900024,1839.900024,1540
9/5/2022,1866.599976,1867.5,1854,1857.099976,1857.099976,304
6/5/2022,1874.699951,1890.300049,1871.5,1881.199951,1881.199951,214
